story	Story(name=speedometer_2.1)
Angular2-TypeScript-TodoMVC
Adding100Items
Async	31.226817067292263
Sync	42.132084014709804
total	73.45004117327724
CompletingAllItems
Async	12.902588945923872
Sync	8.401858086519786
total	21.318911331783525
DeletingItems
Async	2.6649808621449287
Sync	16.03647426266988
total	18.84907214963385
total	113.85929022050091
AngularJS-TodoMVC
Adding100Items
Async	40.82243823266474
Sync	156.46674567113766
total	197.3757589299606
CompletingAllItems
Async	24.19740704567198
Sync	55.17884429129299
total	79.58375026600177
DeletingAllItems
Async	14.32255164867983
Sync	165.2430997045405
total	179.6678940890275
total	458.76239987164297
BackboneJS-TodoMVC
Adding100Items
Async	36.490288599622026
Sync	56.599634069929
total	93.25817002542472
CompletingAllItems
Async	27.786854627850378
Sync	37.73803838694721
total	65.54777138998352
DeletingAllItems
Async	3.421742608961853
Sync	26.35039068312635
total	29.8035632882251
total	189.45351955705746
Elm-TodoMVC
Adding100Items
Async	46.14459328020911
Sync	92.45889256633811
total	139.31947986650042
CompletingAllItems
Async	30.539758083728724
Sync	97.6884245614183
total	129.25301032578673
DeletingItems
Async	9.607570413583485
Sync	104.76552421740189
total	115.4892557035311
total	394.4086447403393
EmberJS-Debug-TodoMVC
Adding100Items
Async	38.82192306129167
Sync	409.25519164710425
total	448.14687921337355
CompletingAllItems
Async	27.329447047958475
Sync	296.9588827355166
total	324.51947407483755
DeletingItems
Async	6.851166455522762
Sync	293.80827206487
total	302.9282912406853
total	1082.0176701353755
EmberJS-TodoMVC
Adding100Items
Async	33.80779968560702
Sync	144.19966755165174
total	178.15390468742913
CompletingAllItems
Async	25.88632281507742
Sync	94.84595490488522
total	120.806263683467
DeletingItems
Async	3.222990353841733
Sync	63.30226410435973
total	66.81689973122644
total	366.8262969234854
Flight-TodoMVC
Adding100Items
Async	32.2807286269232
Sync	78.80466610136091
total	111.11761362466466
CompletingAllItems
Async	24.7007828337093
Sync	86.68848993025983
total	111.43090266412932
DeletingItems
Async	2.984962964299471
Sync	72.03332420498103
total	75.12844986198918
total	298.8344057678513
Inferno-TodoMVC
Adding100Items
Async	37.58627270377564
Sync	43.32536827277721
total	81.10699160686369
CompletingAllItems
Async	6.609752081086357
Sync	88.02922593327821
total	94.7819211684587
DeletingItems
Async	3.091451801126936
Sync	205.46112277936834
total	208.66876403259243
total	385.9563644929489
Preact-TodoMVC
Adding100Items
Async	36.567542175997055
Sync	4.916270701637898
total	41.49076503604885
CompletingAllItems
Async	16.180628869677566
Sync	2.952902924090953
total	19.148432833602232
DeletingItems
Async	4.2220851140896025
Sync	1.568207133086037
total	5.801116599848609
total	66.49097431262865
React-Redux-TodoMVC
Adding100Items
Async	34.021282201932586
Sync	133.04353786922024
total	167.2285136232545
CompletingAllItems
Async	26.26365851236042
Sync	141.86690615543193
total	168.63548582341278
DeletingItems
Async	4.6453514324902
Sync	93.67738955338555
total	98.98041395611905
total	439.6550214021011
React-TodoMVC
Adding100Items
Async	34.33732180171512
Sync	107.23385094930958
total	141.70002167180232
CompletingAllItems
Async	27.160277053132074
Sync	71.72592341077237
total	99.63204374738797
DeletingAllItems
Async	3.511388736841781
Sync	48.162561174702724
total	52.21263032000614
total	298.63282419464264
Vanilla-ES2015-Babel-Webpack-TodoMVC
Adding100Items
Async	34.343136665830755
Sync	296.4227079922955
total	330.8209748621728
CompletingAllItems
Async	25.01616981538107
Sync	64.87590974861696
total	89.97996624960803
DeletingItems
Async	3.03948651983756
Sync	40.489825497624665
total	43.687904394379764
total	465.49309029579337
Vanilla-ES2015-TodoMVC
Adding100Items
Async	34.29933511381713
Sync	304.5794118863274
total	338.97632376137824
CompletingAllItems
Async	26.630132153615577
Sync	64.28357581353804
total	90.96970409136665
DeletingItems
Async	2.9311280928187675
Sync	39.89354027400462
total	43.009057684212976
total	473.1202562030256
VanillaJS-TodoMVC
Adding100Items
Async	33.08177602549724
Sync	217.62357652107875
total	250.76799949598444
CompletingAllItems
Async	24.90522415887813
Sync	56.45462036843547
total	81.5235947375535
DeletingAllItems
Async	3.3322302724183146
Sync	36.79849062741735
total	40.287767025973196
total	374.4432012851939
VueJS-TodoMVC
Adding100Items
Async	51.54219704070342
Sync	7.424382518423938
total	58.97544285262349
CompletingAllItems
Async	24.380784929356494
Sync	3.1298968206699187
total	27.53860991376067
DeletingAllItems
Async	8.35443180475331
Sync	4.171867661554291
total	12.566643094340204
total	99.36597524918629
jQuery-TodoMVC
Adding100Items
Async	37.735246148578014
Sync	449.29652038180797
total	487.0540489747949
CompletingAllItems
Async	34.78499783607193
Sync	865.2229948022228
total	900.1425025912797
DeletingAllItems
Async	4.180586186533832
Sync	452.71347693944347
total	457.7487882016183
total	1846.3511124828146
geomean	333.66180939389375
mean	461.498583047113
score	59.940932515862684
total	7383.977328753811
