label	chrome-handles-no-compact_no_sandbox_js_flags=no_compact_with_stack	chrome-direct-no-compact_no_sandbox_js_flags=no_compact_with_stack
browser	Chrome	Chrome
version	112.0.5572.0	112.0.5572.0
binary	/home/jake/chromium/src/out/handles_full_gc/chrome	/home/jake/chromium/src/out/direct_pointers_full_gc/chrome
flags	--no-default-browser-check --disable-component-update --disable-sync --no-experiments --enable-benchmarking --disable-extensions --no-first-run --disable-background-timer-throttling --disable-renderer-backgrounding --no-sandbox --js-flags=--no-compact-with-stack	--no-default-browser-check --disable-component-update --disable-sync --no-experiments --enable-benchmarking --disable-extensions --no-first-run --disable-background-timer-throttling --disable-renderer-backgrounding --no-sandbox --js-flags=--no-compact-with-stack
Angular2-TypeScript-TodoMVC		
total	387.2148952584094	377.814546461893
CompletingAllItems		
Async	30.188000742218644	30.308626477131536
Sync	72.35761417317845	74.93014646356822
total	102.6612908471499	105.5087790531442
DeletingItems		
Async	4.2129323680672695	4.08621883016382
Sync	45.18430977184483	45.60887562664158
total	49.73514098513385	49.94225087623098
total	540.4913007509999	534.9098598798845
VanillaJS-TodoMVC		
Adding100Items		
Async	36.783404727277365	36.8086469534926
Sync	236.9222524669086	235.28055044717746
total	273.77100813259307	272.14154012964394
CompletingAllItems		
Async	29.13155960906851	29.03626849976566
Sync	62.49814057588646	64.37776488575908
total	91.73627561960133	93.60698215448485
DeletingAllItems		
Async	4.426424272231024	4.269464530132899
Sync	40.54142077426509	41.00138439498951
total	45.15394550858489	45.4038453963626
total	411.41628428106065	412.4010612820195
VueJS-TodoMVC		
Adding100Items		
Async	63.190186806164455	62.990043857454765
Sync	9.146766067929338	8.866845408342163
total	72.37028898247978	71.88518837895859
CompletingAllItems		
Async	34.45910037579953	35.97899256445748
Sync	4.085704150846276	3.9773744717490938
total	38.605092668457736	40.049439179251486
DeletingAllItems		
Async	9.993727265240157	10.116700974272927
Sync	5.01827083279578	4.946812072256284
total	15.02984616851538	15.082862536131
total	126.72909527857085	128.11744689966682
jQuery-TodoMVC		
Adding100Items		
Async	44.61050360240763	45.21446732237864
Sync	522.1125497842287	513.7749951880319
total	566.7349981677183	559.0111330011613
CompletingAllItems		
Async	41.97836470066577	42.445760280901936
Sync	1010.7070229533439	991.8904619312416
total	1052.7701033721303	1034.4549921032847
DeletingAllItems		
Async	4.849234691789124	4.667212015542918
Sync	530.1685916647943	523.6743490214434
total	535.5056095331452	528.729446766385
total	2155.5427089515065	2123.6957073868475
geomean	421.98498899600327	420.5274098767654
mean	577.2027242310236	573.9197433676705
score	47.39505082297947	47.55932557609256
total	9235.24358769638	9182.71589388273
