story	Story(name=speedometer_2.1)
Angular2-TypeScript-TodoMVC
Adding100Items
Async	31.692886555249185
Sync	42.111575823014576
total	73.8473666215664
CompletingAllItems
Async	12.749225556952206
Sync	8.3997407653058
total	21.160062041675438
DeletingItems
Async	2.885556141541652
Sync	16.412545441230357
total	19.63906394205325
total	115.01440625861528
AngularJS-TodoMVC
Adding100Items
Async	41.04830674896688
Sync	155.40338533408018
total	196.481130141029
CompletingAllItems
Async	25.062827582253544
Sync	54.89704428592622
total	80.13799297640429
DeletingAllItems
Async	15.245482261098928
Sync	159.14760041313286
total	174.4968446483647
total	451.2778679302995
BackboneJS-TodoMVC
Adding100Items
Async	41.12136755910876
Sync	54.68632416830827
total	95.98300773461263
CompletingAllItems
Async	31.582188761725018
Sync	36.997464733436836
total	68.95212421001483
DeletingAllItems
Async	4.821559226720148
Sync	25.610146948378112
total	30.937375314484665
total	196.18454519099996
Elm-TodoMVC
Adding100Items
Async	47.4530889509589
Sync	85.69133026032807
total	133.24016185859804
CompletingAllItems
Async	29.589358803361357
Sync	81.74613028574208
total	111.36753154829417
DeletingItems
Async	8.73142925739438
Sync	100.20921121795841
total	109.02517020088243
total	353.67545112518553
EmberJS-Debug-TodoMVC
Adding100Items
Async	45.21137892936328
Sync	726.5584080118725
total	772.4245026444333
CompletingAllItems
Async	33.97734465714994
Sync	299.201849058978
total	333.77366908912114
DeletingItems
Async	10.465620333125216
Sync	283.4837492958013
total	296.40310592036553
total	1409.2601722656345
EmberJS-TodoMVC
Adding100Items
Async	34.11094771904885
Sync	149.2705872690692
total	183.62680738120028
CompletingAllItems
Async	28.342389102423024
Sync	106.56024628915374
total	135.18667402537906
DeletingItems
Async	3.462690073571666
Sync	72.99290695939888
total	76.51963333667004
total	396.45599826463496
Flight-TodoMVC
Adding100Items
Async	33.14503522370549
Sync	78.06447823806435
total	111.22424550114138
CompletingAllItems
Async	24.81389799107736
Sync	84.99327696626095
total	109.82612298425386
DeletingItems
Async	3.4570143643792015
Sync	69.72137221750057
total	73.82151421076176
total	295.11120769263357
Inferno-TodoMVC
Adding100Items
Async	38.1741197958443
Sync	43.2541959210202
total	81.52697541956202
CompletingAllItems
Async	6.554502281451307
Sync	85.06567267293165
total	91.70521608318737
DeletingItems
Async	3.1761029755620895
Sync	201.68933526818873
total	204.90482897895808
total	378.25802607910896
Preact-TodoMVC
Adding100Items
Async	37.24367289518302
Sync	4.85836153367503
total	42.10711966861304
CompletingAllItems
Async	16.59123114265177
Sync	2.9263604395998426
total	19.534561019493488
DeletingItems
Async	4.358111217181108
Sync	1.5654851913085848
total	5.935429424128232
total	67.68641863025951
React-Redux-TodoMVC
Adding100Items
Async	33.26368351432012
Sync	135.35188039052477
total	168.766701959111
CompletingAllItems
Async	27.18989107737029
Sync	144.1313081299126
total	171.60804476316315
DeletingItems
Async	3.6375276357140294
Sync	102.1360904245482
total	106.05303357153288
total	448.39901036544137
React-TodoMVC
Adding100Items
Async	34.64377634455987
Sync	108.66678129462302
total	143.45330232734443
CompletingAllItems
Async	27.372599362561886
Sync	63.373629621300296
total	90.77010994166116
DeletingAllItems
Async	2.8882677653575706
Sync	46.96988420388334
total	49.89130258563747
total	284.4372408991419
Vanilla-ES2015-Babel-Webpack-TodoMVC
Adding100Items
Async	35.100867264353425
Sync	293.63051102475526
total	328.82207948209333
CompletingAllItems
Async	26.36898700538782
Sync	64.35873256319245
total	90.76435859626893
DeletingItems
Async	3.620096221849857
Sync	40.47995756286307
total	45.14087323399214
total	465.23601051803143
Vanilla-ES2015-TodoMVC
Adding100Items
Async	34.338345231364116
Sync	299.8936246687134
total	334.2920282328936
CompletingAllItems
Async	26.61764863901782
Sync	63.936900727145
total	90.59796339193481
DeletingItems
Async	2.9606779208971834
Sync	39.86277240854007
total	42.87346499493525
total	467.82988310168867
VanillaJS-TodoMVC
Adding100Items
Async	33.97530231244123
Sync	216.4871745295013
total	250.5368484717301
CompletingAllItems
Async	25.963121545678057
Sync	55.50296739234375
total	81.49606840529614
DeletingAllItems
Async	4.215850558309539
Sync	35.595671513433096
total	41.854990993132695
total	375.06034672360187
VueJS-TodoMVC
Adding100Items
Async	52.33956744327765
Sync	7.51015129943965
total	59.86167706665815
CompletingAllItems
Async	25.376970183394807
Sync	3.095203935434508
total	28.548883989747136
DeletingAllItems
Async	8.457418288277326
Sync	4.433777195140317
total	12.965849064865374
total	102.2910951248478
jQuery-TodoMVC
Adding100Items
Async	37.46029948359957
Sync	427.1890287212402
total	464.6741469627322
CompletingAllItems
Async	33.803266509642526
Sync	833.076444868573
total	867.0463542689749
DeletingAllItems
Async	3.431970443924719
Sync	437.6261118877919
total	442.00296054302896
total	1773.9113140140696
geomean	337.7833012914416
mean	474.85662497393884
score	59.20955809104339
total	7597.705999583024
