label	chrome-handles-no-gc_default	chrome-direct-no-gc_default
browser	Chrome	Chrome
version	112.0.5572.0	112.0.5572.0
binary	/home/jake/research/chromium/src/out/baseline-no-gc/chrome	/home/jake/research/chromium/src/out/direct-handles-no-gc/chrome
flags	--no-default-browser-check --disable-component-update --disable-sync --no-experiments --enable-benchmarking --disable-extensions --no-first-run --disable-background-timer-throttling --disable-renderer-backgrounding	--no-default-browser-check --disable-component-update --disable-sync --no-experiments --enable-benchmarking --disable-extensions --no-first-run --disable-background-timer-throttling --disable-renderer-backgrounding
Angular2-TypeScript-TodoMVC		
total	90.82612318659929	90.59796339193481
DeletingItems		
Async	3.061306569017834	2.9606779208971834
Sync	40.07203867209649	39.86277240854007
total	43.403880805201574	42.87346499493525
total	472.52034065098894	467.82988310168867
VanillaJS-TodoMVC		
Adding100Items		
Async	34.10023516792628	33.97530231244123
Sync	219.26701728027544	216.4871745295013
total	253.41971141258597	250.5368484717301
CompletingAllItems		
Async	26.46933745071938	25.963121545678057
Sync	55.356740848995614	55.50296739234375
total	81.85112215180854	81.49606840529614
DeletingAllItems		
Async	4.183032250637335	4.215850558309539
Sync	35.892986740881696	35.595671513433096
total	41.74080404026881	41.854990993132695
total	377.8341906503006	375.06034672360187
VueJS-TodoMVC		
Adding100Items		
Async	52.97126204791183	52.33956744327765
Sync	7.705178343758021	7.51015129943965
total	60.69051049315533	59.86167706665815
CompletingAllItems		
Async	25.730496896678723	25.376970183394807
Sync	3.2253963665607657	3.095203935434508
total	29.023968914766872	28.548883989747136
DeletingAllItems		
Async	8.627070082408816	8.457418288277326
Sync	4.468728977848219	4.433777195140317
total	13.186112932990344	12.965849064865374
total	103.80382218146477	102.2910951248478
jQuery-TodoMVC		
Adding100Items		
Async	37.925932825126694	37.46029948359957
Sync	437.4218839971541	427.1890287212402
total	475.37531775449776	464.6741469627322
CompletingAllItems		
Async	33.68937279419684	33.803266509642526
Sync	849.3141471151199	833.076444868573
total	883.0279469306806	867.0463542689749
DeletingAllItems		
Async	3.572865705687552	3.431970443924719
Sync	444.2507455288885	437.6261118877919
total	449.0906347012078	442.00296054302896
total	1807.7093712295473	1773.9113140140696
geomean	342.53313221899947	337.7833012914416
mean	481.1761301256415	474.85662497393884
score	58.388512289120605	59.20955809104339
total	7698.818082010267	7597.705999583024
