label	chrome-handles-no-gc_no_sandbox_js_flags=no_incremental_marking initial_old_space_size=4092	chrome-direct-no-gc_no_sandbox_js_flags=no_incremental_marking initial_old_space_size=4092
browser	Chrome	Chrome
version	112.0.5572.0	112.0.5572.0
binary	/home/jake/chromium/src/out/handles/chrome	/home/jake/chromium/src/out/direct_pointers/chrome
flags	--no-default-browser-check --disable-component-update --disable-sync --no-experiments --enable-benchmarking --disable-extensions --no-first-run --disable-background-timer-throttling --disable-renderer-backgrounding --no-sandbox --js-flags=--no-incremental-marking --initial-old-space-size=4092	--no-default-browser-check --disable-component-update --disable-sync --no-experiments --enable-benchmarking --disable-extensions --no-first-run --disable-background-timer-throttling --disable-renderer-backgrounding --no-sandbox --js-flags=--no-incremental-marking --initial-old-space-size=4092
Angular2-TypeScript-TodoMVC		
Async	38.71257559452969	38.27522563783408
Sync	355.9503169004101	346.9015688679245
total	394.7065039651801	385.2087696166916
CompletingAllItems		
Async	31.449070269718483	31.383550841315998
Sync	78.34014091964524	78.09600352589734
total	109.84009400300222	109.50593872222737
DeletingItems		
Async	4.227689482676165	4.339675801932489
Sync	52.07107049773703	50.458711184893936
total	56.32600265058756	54.84940747132071
total	561.1044900410263	549.7030306831197
VanillaJS-TodoMVC		
Adding100Items		
Async	38.23096633082027	38.35589331200775
Sync	248.06135024389945	245.05594552114667
total	286.33577765817313	283.4555308570781
CompletingAllItems		
Async	31.19588345010486	31.206582650609242
Sync	68.82942097084549	68.35629473934348
total	100.0872058243511	99.59864805863968
DeletingAllItems		
Async	4.4319234698678684	4.339398234549464
Sync	47.412996123238116	45.74253822075307
total	51.87276152493162	50.10747581361272
total	438.5134477603823	433.2921867170418
VueJS-TodoMVC		
Adding100Items		
Async	72.74873634393722	71.98272287451432
Sync	13.74115982420525	12.255195239433451
total	86.67769864339316	84.35328230208484
CompletingAllItems		
Async	34.917012131079616	33.684813758466674
Sync	4.120186391466675	3.9896820025321675
total	39.05778431844949	37.693772587538646
DeletingAllItems		
Async	10.411350756862067	10.391268046726486
Sync	5.30966472076405	5.246017160740156
total	15.729813679094072	15.653244950850981
total	141.6138062678109	137.87756757449276
jQuery-TodoMVC		
Adding100Items		
Async	46.17967165201793	46.29872882976922
Sync	555.1905860684548	532.3965178588351
total	601.3818406739648	578.6997526341396
CompletingAllItems		
Async	41.64299643508164	41.69888707287752
Sync	1037.3053102631006	1003.2287348359092
total	1078.96541682663	1044.9435420955122
DeletingAllItems		
Async	4.233796486302045	4.254748810651544
Sync	558.6948453234951	537.5898180208209
total	562.9470814318926	541.8619309332656
total	2243.3540531483413	2165.5412572652594
geomean	460.6350106934934	449.1346947769851
mean	623.7591702130173	609.14833856063
score	43.41832369599889	44.53007134069408
total	9980.14672340828	9746.373416970082
