story	Story(name=speedometer_2.1)
Angular2-TypeScript-TodoMVC
Adding100Items
Async	32.09933754049014
Sync	42.675338882247445
total	74.82283589709881
CompletingAllItems
Async	13.376468333622695
Sync	8.511727999314026
total	21.941107694311142
DeletingItems
Async	2.8088689160787372
Sync	16.53129133262968
total	19.528751074664108
total	116.61943321429926
AngularJS-TodoMVC
Adding100Items
Async	41.48213859737247
Sync	156.31526187106257
total	197.81532390996787
CompletingAllItems
Async	25.855903648361934
Sync	55.09142404572546
total	81.2962054819713
DeletingAllItems
Async	15.250795742908176
Sync	159.58540075242232
total	174.92986193049077
total	454.2694984706674
BackboneJS-TodoMVC
Adding100Items
Async	41.79332143594512
Sync	55.16292847446671
total	97.11281735649487
CompletingAllItems
Async	34.057924738040114
Sync	37.61369370632584
total	72.49977038867391
DeletingAllItems
Async	5.017214163368157
Sync	26.155279338953495
total	31.708749702315195
total	201.97117181014147
Elm-TodoMVC
Adding100Items
Async	48.53094826752018
Sync	87.0066573814505
total	135.6166763326731
CompletingAllItems
Async	30.09614527787763
Sync	83.47350636460928
total	113.60096926521314
DeletingItems
Async	8.866202380892593
Sync	103.51991173429774
total	112.47629189189193
total	361.7915752575376
EmberJS-Debug-TodoMVC
Adding100Items
Async	46.27580310772774
Sync	729.353705733694
total	776.4315452028756
CompletingAllItems
Async	34.11856285797876
Sync	298.8848380618634
total	333.5717174792964
DeletingItems
Async	10.62554032280518
Sync	285.2925210384544
total	298.2690928684403
total	1418.3910504263056
EmberJS-TodoMVC
Adding100Items
Async	34.353603315480974
Sync	152.3298879615611
total	186.80832757080915
CompletingAllItems
Async	28.861341701072416
Sync	107.64869976291837
total	136.81605299340626
DeletingItems
Async	3.360912928841295
Sync	73.47339652379087
total	77.143775253151
total	401.9738618380626
Flight-TodoMVC
Adding100Items
Async	33.40702596010214
Sync	78.32609657912556
total	111.74736541308702
CompletingAllItems
Async	25.438167618656152
Sync	85.62596524529634
total	111.10021573061354
DeletingItems
Async	3.6482855077141148
Sync	70.15523909136145
total	75.21207898840628
total	298.43587443915897
Inferno-TodoMVC
Adding100Items
Async	38.81495921815055
Sync	43.635827091531475
total	82.56464865048841
CompletingAllItems
Async	6.623377878705426
Sync	85.60853553231065
total	92.3291674421253
DeletingItems
Async	3.1696598801361167
Sync	205.05455036149567
total	208.26202749272633
total	383.2576534742054
Preact-TodoMVC
Adding100Items
Async	38.00377999855181
Sync	5.050166629520812
total	43.05956208459413
CompletingAllItems
Async	16.564340189553043
Sync	3.0825177665034955
total	19.662802454252525
DeletingItems
Async	4.682149818329552
Sync	1.6904272042457558
total	6.391073656987152
total	69.2138183900012
React-Redux-TodoMVC
Adding100Items
Async	33.9698588779142
Sync	136.58129142862143
total	170.87080170426185
CompletingAllItems
Async	27.61319370260978
Sync	145.75242450037226
total	173.67521226040517
DeletingItems
Async	3.465881634612517
Sync	104.84021179982877
total	108.46953686811626
total	455.47400807171783
React-TodoMVC
Adding100Items
Async	35.40093271368463
Sync	108.93262250129852
total	144.5021934160595
CompletingAllItems
Async	27.881652199131594
Sync	63.4313544321592
total	91.3345918962921
DeletingAllItems
Async	2.880260102642284
Sync	47.40022274696685
total	50.31457908659214
total	286.47691027065594
Vanilla-ES2015-Babel-Webpack-TodoMVC
Adding100Items
Async	35.608886082629304
Sync	297.6842834057052
total	333.3720127449711
CompletingAllItems
Async	26.70122442636394
Sync	64.26004796833884
total	90.98393585258655
DeletingItems
Async	3.4924231563235666
Sync	40.566728649024384
total	45.20081116903546
total	470.17942999075484
Vanilla-ES2015-TodoMVC
Adding100Items
Async	34.94954270532861
Sync	303.1358734509881
total	338.1464471973235
CompletingAllItems
Async	26.68944377660419
Sync	64.10411869400382
total	90.82612318659929
DeletingItems
Async	3.061306569017834
Sync	40.07203867209649
total	43.403880805201574
total	472.52034065098894
VanillaJS-TodoMVC
Adding100Items
Async	34.10023516792628
Sync	219.26701728027544
total	253.41971141258597
CompletingAllItems
Async	26.46933745071938
Sync	55.356740848995614
total	81.85112215180854
DeletingAllItems
Async	4.183032250637335
Sync	35.892986740881696
total	41.74080404026881
total	377.8341906503006
VueJS-TodoMVC
Adding100Items
Async	52.97126204791183
Sync	7.705178343758021
total	60.69051049315533
CompletingAllItems
Async	25.730496896678723
Sync	3.2253963665607657
total	29.023968914766872
DeletingAllItems
Async	8.627070082408816
Sync	4.468728977848219
total	13.186112932990344
total	103.80382218146477
jQuery-TodoMVC
Adding100Items
Async	37.925932825126694
Sync	437.4218839971541
total	475.37531775449776
CompletingAllItems
Async	33.68937279419684
Sync	849.3141471151199
total	883.0279469306806
DeletingAllItems
Async	3.572865705687552
Sync	444.2507455288885
total	449.0906347012078
total	1807.7093712295473
geomean	342.53313221899947
mean	481.1761301256415
score	58.388512289120605
total	7698.818082010267
