story	Story(name=speedometer_2.1)
Angular2-TypeScript-TodoMVC
Adding100Items
Async	37.921678096128616
Sync	60.37072537315075
total	98.3316669027497
CompletingAllItems
Async	18.082945413310167
Sync	10.208067843834511
total	28.350186308545116
DeletingItems
Async	3.826494473034118
Sync	18.808510739066755
total	22.694030868317846
total	149.54429977973427
AngularJS-TodoMVC
Adding100Items
Async	52.633385390930755
Sync	279.77911972483145
total	332.97399012147423
CompletingAllItems
Async	36.10276477143789
Sync	86.94969168835262
total	123.63951035041472
DeletingAllItems
Async	17.106296687984855
Sync	247.2888882077384
total	264.6065556820112
total	722.3008891372763
BackboneJS-TodoMVC
Adding100Items
Async	45.60240331932764
Sync	108.83501217665697
total	155.0401215324933
CompletingAllItems
Async	34.07112671272171
Sync	59.49872349293389
total	93.7396212010464
DeletingAllItems
Async	4.9588289828532925
Sync	30.955537689457472
total	35.94711329839197
total	285.01447021347275
Elm-TodoMVC
Adding100Items
Async	52.84594320676107
Sync	176.00058597078427
total	233.6694757531609
CompletingAllItems
Async	40.945840068302424
Sync	152.72038024514694
total	197.07027048332714
DeletingItems
Async	11.076556897508548
Sync	312.6038478208397
total	325.8038683316306
total	848.6180583246552
EmberJS-Debug-TodoMVC
Adding100Items
Async	45.40733165638428
Sync	592.6440493851353
total	638.1441484592514
CompletingAllItems
Async	32.28312719885581
Sync	359.6684700936507
total	391.9978552702094
DeletingItems
Async	5.317151610915641
Sync	381.93858340239836
total	387.7244109481719
total	1418.33512007044
EmberJS-TodoMVC
Adding100Items
Async	42.848207205527856
Sync	225.08571560865064
total	268.0707330834089
CompletingAllItems
Async	35.945866123570255
Sync	123.1075789961484
total	159.30494932131998
DeletingItems
Async	5.042409487974088
Sync	82.96192224089378
total	88.30993724851031
total	516.210997377135
Flight-TodoMVC
Adding100Items
Async	40.81281494315833
Sync	117.49016387829806
total	158.56287632934993
CompletingAllItems
Async	32.695557272137265
Sync	124.72535022277702
total	157.59289348380457
DeletingItems
Async	5.002636991704264
Sync	109.78791974963522
total	115.19930941802967
total	431.4599092481634
Inferno-TodoMVC
Adding100Items
Async	44.18856207208508
Sync	56.89845891518929
total	101.30880543000463
CompletingAllItems
Async	10.531669571782341
Sync	116.80381453096777
total	127.8405876371688
DeletingItems
Async	3.9932818723590837
Sync	247.4682255744905
total	251.49323898622586
total	481.01458547023003
Preact-TodoMVC
Adding100Items
Async	62.11074398342256
Sync	10.640216497324
total	72.78008868112376
CompletingAllItems
Async	26.797244448766715
Sync	3.936154072774228
total	30.809442379198597
DeletingItems
Async	7.52497136900481
Sync	2.2095268710393854
total	9.753575599777461
total	114.88547998715758
React-Redux-TodoMVC
Adding100Items
Async	42.35964105970114
Sync	197.28111073707726
total	239.87580503614035
CompletingAllItems
Async	31.584022581924852
Sync	172.3423152070534
total	203.96081150587494
DeletingItems
Async	4.389721608899241
Sync	113.91303154261944
total	118.37298542600335
total	562.5447387659464
React-TodoMVC
Adding100Items
Async	43.06572454556718
Sync	148.72485245183157
total	191.9044893298622
CompletingAllItems
Async	33.21471977719439
Sync	84.90442313985893
total	118.21281679083408
DeletingAllItems
Async	4.257639154527748
Sync	56.470762500204714
total	60.81221075259714
total	371.21464339301275
Vanilla-ES2015-Babel-Webpack-TodoMVC
Adding100Items
Async	38.96596417823489
Sync	345.56104669119316
total	384.5812950885748
CompletingAllItems
Async	31.19916194969282
Sync	78.57403228400551
total	109.7996709487527
DeletingItems
Async	4.468441491232383
Sync	52.8070794655972
total	57.30714621282338
total	551.9016795418116
Vanilla-ES2015-TodoMVC
Adding100Items
Async	38.71257559452969
Sync	355.9503169004101
total	394.7065039651801
CompletingAllItems
Async	31.449070269718483
Sync	78.34014091964524
total	109.84009400300222
DeletingItems
Async	4.227689482676165
Sync	52.07107049773703
total	56.32600265058756
total	561.1044900410263
VanillaJS-TodoMVC
Adding100Items
Async	38.23096633082027
Sync	248.06135024389945
total	286.33577765817313
CompletingAllItems
Async	31.19588345010486
Sync	68.82942097084549
total	100.0872058243511
DeletingAllItems
Async	4.4319234698678684
Sync	47.412996123238116
total	51.87276152493162
total	438.5134477603823
VueJS-TodoMVC
Adding100Items
Async	72.74873634393722
Sync	13.74115982420525
total	86.67769864339316
CompletingAllItems
Async	34.917012131079616
Sync	4.120186391466675
total	39.05778431844949
DeletingAllItems
Async	10.411350756862067
Sync	5.30966472076405
total	15.729813679094072
total	141.6138062678109
jQuery-TodoMVC
Adding100Items
Async	46.17967165201793
Sync	555.1905860684548
total	601.3818406739648
CompletingAllItems
Async	41.64299643508164
Sync	1037.3053102631006
total	1078.96541682663
DeletingAllItems
Async	4.233796486302045
Sync	558.6948453234951
total	562.9470814318926
total	2243.3540531483413
geomean	460.6350106934934
mean	623.7591702130173
score	43.41832369599889
total	9980.14672340828
